NAME,S1501_C01_006E,S1501_C01_015E,S1501_C01_016E,S1501_C01_018E,S1501_C01_019E,S1501_C01_021E,S1501_C01_022E,S1501_C01_024E,S1501_C01_025E,S1501_C01_027E
Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
ZCTA5 00601,11934,1960,2137,528,1925,362,4761,813,3111,257
ZCTA5 00602,27304,5519,4659,1413,4696,1245,11096,2180,6853,681
ZCTA5 00603,33487,7706,5604,1526,5945,1761,11990,3054,9948,1365
ZCTA5 00606,4568,347,606,71,862,56,1826,128,1274,92
ZCTA5 00610,19167,3558,3090,924,3422,807,7321,1288,5334,539
ZCTA5 00612,42157,10356,7110,1784,7186,2372,15062,3922,12799,2278
ZCTA5 00616,7424,1486,1338,368,1145,238,2882,745,2059,135
ZCTA5 00617,16668,3629,3076,1072,3335,1090,5747,1018,4510,449
ZCTA5 00622,5418,1097,752,333,520,83,2049,484,2097,197
ZCTA5 00623,29664,8017,4612,1432,5646,2266,10593,3332,8813,987
ZCTA5 00624,14843,3217,2860,783,2633,764,5817,1351,3533,319
ZCTA5 00627,22484,4678,3792,1046,4010,1142,8615,1760,6067,730
ZCTA5 00631,1190,177,221,71,177,51,333,23,459,32
ZCTA5 00637,15581,3050,2303,611,2740,828,5614,1158,4924,453
ZCTA5 00638,11643,1839,2006,355,1861,509,4437,681,3339,294
ZCTA5 00641,19179,3686,3179,827,2975,736,7482,1461,5543,662
ZCTA5 00646,25505,7655,4154,1461,5390,1934,9715,3256,6246,1004
ZCTA5 00647,4043,747,530,199,622,179,1407,198,1484,171
ZCTA5 00650,9847,1345,1749,286,1969,287,3492,576,2637,196
ZCTA5 00652,2589,644,364,79,574,206,848,252,803,107
ZCTA5 00653,7232,1006,1088,208,1340,225,2520,453,2284,120
ZCTA5 00656,12906,3193,2265,842,2255,750,4684,1037,3702,564
ZCTA5 00659,28797,7090,5020,1555,5233,1622,10758,2867,7786,1046
ZCTA5 00660,11870,2720,1593,405,1913,669,4062,1122,4302,524
ZCTA5 00662,28269,6365,4845,1410,5208,1677,10443,2080,7773,1198
ZCTA5 00664,9918,1791,1935,547,1864,293,3764,766,2355,185
ZCTA5 00667,16519,2595,2208,585,2613,385,6161,1164,5537,461
ZCTA5 00669,17762,3358,3113,871,3090,623,6702,1226,4857,638
ZCTA5 00670,5762,1004,964,205,964,338,2184,420,1650,41
ZCTA5 00674,27472,6106,4627,1212,4668,1670,10172,2439,8005,785
ZCTA5 00676,25133,5018,4631,1013,4704,1418,9683,2096,6115,491
ZCTA5 00677,10516,2424,1397,478,1808,388,3942,1094,3369,464
ZCTA5 00678,18346,3430,3305,611,3285,805,6923,1530,4833,484
ZCTA5 00680,31288,7043,5378,1845,3957,909,10755,2941,11198,1348
ZCTA5 00682,20095,6600,3383,1239,3464,1294,6699,2360,6549,1707
ZCTA5 00683,20905,4932,3183,998,3151,1028,7517,1671,7054,1235
ZCTA5 00685,26782,5072,3909,984,4534,1150,9926,2043,8413,895
ZCTA5 00687,21203,3497,4264,944,3881,566,8309,1557,4749,430
ZCTA5 00688,8683,1678,1545,448,1484,390,3455,619,2199,221
ZCTA5 00690,3962,1238,678,367,580,198,1618,570,1086,103
ZCTA5 00692,24210,5524,4540,1427,4695,1255,8943,2199,6032,643
ZCTA5 00693,37685,7962,6788,1575,6437,1806,13969,3333,10491,1248
ZCTA5 00694,64,0,0,0,0,0,0,0,64,0
ZCTA5 00698,25498,6304,4003,1636,4263,1555,9737,2190,7495,923
ZCTA5 00703,18584,3200,3418,673,3503,941,6734,1183,4929,403
ZCTA5 00704,5216,978,1320,269,949,149,1838,441,1109,119
ZCTA5 00705,16174,3570,2789,734,2482,777,6405,1397,4498,662
ZCTA5 00707,7729,1287,1207,166,1368,284,2833,455,2321,382
ZCTA5 00714,12251,1980,2170,336,2350,382,4394,723,3337,539
ZCTA5 00715,2030,159,408,32,228,0,747,86,647,41
ZCTA5 00716,19839,6491,3044,1310,3209,1095,6823,2368,6763,1718
ZCTA5 00717,10911,3332,2020,639,1449,508,3646,1207,3796,978
ZCTA5 00718,17187,3492,3353,677,3540,859,5854,1006,4440,950
ZCTA5 00719,20055,3275,3745,687,3364,764,7640,1406,5306,418
ZCTA5 00720,14119,2383,2636,743,2413,520,5744,890,3326,230
ZCTA5 00723,12279,1874,1967,264,1825,346,4912,875,3575,389
ZCTA5 00725,57308,15834,9789,2962,10106,3537,20557,6234,16856,3101
ZCTA5 00727,37454,13666,7029,3198,6886,3247,14394,5468,9145,1753
ZCTA5 00728,27182,7159,5524,1609,4632,1450,9675,2747,7351,1353
ZCTA5 00729,35519,7972,6554,1804,6916,2244,13645,2979,8404,945
ZCTA5 00730,20756,5228,3666,1226,3479,939,7217,2165,6394,898
ZCTA5 00731,8994,1980,1883,672,1421,262,3554,814,2136,232
ZCTA5 00735,8768,1575,1535,389,1463,390,3043,491,2727,305
ZCTA5 00736,33370,7881,5519,1846,5792,1435,12714,3248,9345,1352
ZCTA5 00738,20571,5357,3465,823,3407,1069,7277,2305,6422,1160
ZCTA5 00739,25337,6217,4774,1663,4619,1468,9989,2434,5955,652
ZCTA5 00740,1195,139,306,14,247,65,390,35,252,25
ZCTA5 00741,3102,424,681,84,471,42,1231,240,719,58
ZCTA5 00745,35594,8371,6395,1978,6313,2046,13224,3340,9662,1007
ZCTA5 00751,14435,2405,2091,562,2670,474,5383,875,4291,494
ZCTA5 00754,26304,4801,4671,1390,4680,1102,10255,1810,6698,499
ZCTA5 00757,14655,3710,2673,909,3263,938,5275,1453,3444,410
ZCTA5 00765,6156,1108,899,110,752,57,2680,794,1825,147
ZCTA5 00766,15394,3091,2802,807,2557,533,6173,1375,3862,376
ZCTA5 00767,23846,4293,3851,908,4021,1089,9341,1774,6633,522
ZCTA5 00769,27682,6064,4755,1280,5381,1577,10902,2297,6644,910
ZCTA5 00771,26012,5730,4834,1292,5301,1585,9413,2292,6464,561
ZCTA5 00772,13392,1600,2573,275,2394,404,5025,630,3400,291
ZCTA5 00773,12824,2620,2132,523,2267,598,4619,1121,3806,378
ZCTA5 00775,956,144,197,23,154,23,307,31,298,67
ZCTA5 00777,27062,5228,5240,1372,5875,1385,9845,1925,6102,546
ZCTA5 00778,32643,10971,6047,2453,7101,2626,12328,4477,7167,1415
ZCTA5 00780,7525,2450,1259,371,1433,789,2799,1061,2034,229
ZCTA5 00782,12206,1624,2313,473,2006,216,4775,722,3112,213
ZCTA5 00783,22653,4317,4321,1337,3984,910,8671,1455,5677,615
ZCTA5 00784,27444,5771,5555,962,4961,1179,9938,2538,6990,1092
ZCTA5 00786,360,24,75,0,70,0,108,0,107,24
ZCTA5 00791,34554,8291,5322,1669,6094,1786,12763,3269,10375,1567
ZCTA5 00794,18901,3692,3935,956,3304,918,7365,1336,4297,482
ZCTA5 00795,29987,7401,5347,1609,5628,1761,11377,2920,7635,1111
ZCTA5 00901,5260,2023,1054,248,900,374,1847,876,1459,525
ZCTA5 00906,177,163,74,60,84,84,13,13,6,6
ZCTA5 00907,12462,6640,2199,1235,1634,1047,4755,2721,3874,1637
ZCTA5 00909,3447,1195,690,306,548,300,1254,304,955,285
ZCTA5 00911,5487,3001,705,381,949,637,2223,1420,1610,563
ZCTA5 00912,4281,1459,692,224,707,326,1511,580,1371,329
ZCTA5 00913,4119,807,1298,227,591,115,1436,242,794,223
ZCTA5 00915,17273,1942,3017,401,2991,264,6710,826,4555,451
ZCTA5 00917,13873,3373,2253,850,1863,501,5178,1355,4579,667
ZCTA5 00918,11603,6554,2503,1544,1388,883,3804,2398,3908,1729
ZCTA5 00920,12543,4097,2380,803,1592,549,4516,1663,4055,1082
ZCTA5 00921,22503,6492,4408,1550,4192,1340,7741,2460,6162,1142
ZCTA5 00923,16825,3612,2861,610,2690,638,6548,1413,4726,951
ZCTA5 00924,32557,9595,5692,1484,5901,2286,10843,3367,10121,2458
ZCTA5 00925,4305,1551,875,611,808,207,1485,336,1137,397
ZCTA5 00926,68199,31534,10789,5191,11405,6384,25088,12564,20917,7395
ZCTA5 00927,9909,6001,1445,896,1662,1091,3670,2304,3132,1710
ZCTA5 00934,64,39,25,0,10,10,29,29,0,0
ZCTA5 00936,682,101,38,0,117,30,149,29,378,42
ZCTA5 00949,51556,15005,9643,3656,9801,3456,18433,5733,13679,2160
ZCTA5 00950,0,0,0,0,0,0,0,0,0,0
ZCTA5 00951,0,0,0,0,0,0,0,0,0,0
ZCTA5 00952,5568,724,1017,125,748,152,2247,307,1556,140
ZCTA5 00953,48596,14372,9301,3298,10212,3547,19517,6152,9566,1375
ZCTA5 00956,45956,11064,8874,2705,7410,2527,15821,4363,13851,1469
ZCTA5 00957,27160,7030,5450,1715,4035,1345,9430,2767,8245,1203
ZCTA5 00959,32676,11768,5999,2149,5413,2251,12034,5048,9230,2320
ZCTA5 00960,1796,47,798,11,554,16,346,16,98,4
ZCTA5 00961,21961,7118,3667,1284,3730,1195,8201,3184,6363,1455
ZCTA5 00962,12933,2009,2640,394,2226,462,4699,772,3368,381
ZCTA5 00965,5066,516,759,106,530,119,2117,209,1660,82
ZCTA5 00966,11570,6998,1902,1128,1615,1053,4279,2885,3774,1932
ZCTA5 00968,3039,2074,340,241,434,337,1108,828,1157,668
ZCTA5 00969,30136,17840,5481,3373,5395,3620,10931,7331,8329,3516
ZCTA5 00971,19423,4477,3189,871,3662,1080,7192,1934,5380,592
ZCTA5 00976,41684,15173,7118,2722,8183,3513,14969,6413,11414,2525
ZCTA5 00979,12911,6066,1935,1002,2109,1065,4984,2437,3883,1562
ZCTA5 00982,10545,2835,1975,680,1446,416,3674,1094,3450,645
ZCTA5 00983,23524,6762,4809,1690,3712,1281,7585,2436,7418,1355
ZCTA5 00985,22915,5285,3491,880,3966,1223,7852,2201,7606,981
ZCTA5 00987,38026,13429,6546,3034,7649,3189,14076,5453,9755,1753
ZCTA5 01001,13291,4288,2338,978,2030,1007,4861,1570,4062,733
ZCTA5 01002,14069,9342,3365,1996,1974,1163,4719,3422,4011,2761
ZCTA5 01003,105,17,47,12,9,1,45,4,4,0
ZCTA5 01005,3612,1184,535,217,275,29,2009,706,793,232
ZCTA5 01007,10131,4923,1354,788,1813,1213,4743,2304,2221,618
ZCTA5 01008,911,313,119,41,102,24,405,151,285,97
ZCTA5 01009,205,88,39,27,22,0,109,61,35,0
ZCTA5 01010,2660,967,345,156,313,181,1266,358,736,272
ZCTA5 01011,1082,225,184,56,140,46,480,70,278,53
ZCTA5 01012,478,132,85,19,70,6,175,74,148,33
ZCTA5 01013,15026,3228,3461,1131,2817,626,5406,928,3342,543
ZCTA5 01020,22258,4090,3998,914,3406,714,8578,1550,6276,912
ZCTA5 01022,1647,478,429,272,275,92,387,79,556,35
ZCTA5 01026,682,268,32,19,130,34,292,106,228,109
ZCTA5 01027,13940,5482,2650,1260,2376,940,5532,2235,3382,1047
ZCTA5 01028,11436,4867,1618,879,1573,885,4717,2069,3528,1034
ZCTA5 01029,461,156,95,53,56,33,206,54,104,16
ZCTA5 01030,8307,2877,1163,340,1233,734,3841,1234,2070,569
ZCTA5 01031,842,223,191,37,80,40,365,79,206,67
ZCTA5 01032,402,200,36,18,24,14,258,118,84,50
ZCTA5 01033,4758,2075,681,464,576,300,2318,986,1183,325
ZCTA5 01034,1627,527,261,63,234,93,711,212,421,159
ZCTA5 01035,4135,2261,779,437,413,241,1682,1038,1261,545
ZCTA5 01036,3987,1409,367,145,471,283,1860,622,1289,359
ZCTA5 01037,480,211,121,28,25,10,206,86,128,87
ZCTA5 01038,2090,924,258,141,297,209,889,405,646,169
ZCTA5 01039,1005,590,164,101,77,30,516,285,248,174
ZCTA5 01040,26855,5787,6621,1580,4734,1093,9802,2044,5698,1070
ZCTA5 01050,1854,540,358,68,255,67,816,253,425,152
ZCTA5 01053,1277,569,120,43,167,111,544,284,446,131
ZCTA5 01054,1480,963,192,107,208,139,562,349,518,368
ZCTA5 01056,15838,3626,3090,1044,2353,648,6418,1427,3977,507
ZCTA5 01057,6490,1758,917,319,885,224,3038,871,1650,344
ZCTA5 01060,10388,6720,2381,1676,1736,1074,3745,2464,2526,1506
ZCTA5 01062,7751,4379,1028,517,1393,912,3176,1790,2154,1160
ZCTA5 01063,0,0,0,0,0,0,0,0,0,0
ZCTA5 01066,31,0,0,0,0,0,0,0,31,0
ZCTA5 01068,1367,502,178,69,182,70,704,246,303,117
ZCTA5 01069,6455,1618,1093,556,875,321,2875,521,1612,220
ZCTA5 01070,517,234,49,19,67,30,211,81,190,104
ZCTA5 01071,943,261,113,26,144,62,463,109,223,64
ZCTA5 01072,1102,740,96,53,200,152,529,379,277,156
ZCTA5 01073,4479,1863,539,272,708,337,2035,815,1197,439
ZCTA5 01074,197,46,13,0,16,0,143,21,25,25
ZCTA5 01075,11682,4972,2004,765,1839,846,4417,1928,3422,1433
ZCTA5 01077,7172,2564,1050,495,1067,404,2947,1097,2108,568
ZCTA5 01079,522,162,52,0,69,35,297,116,104,11
ZCTA5 01080,1684,305,437,59,406,85,575,116,266,45
ZCTA5 01081,1325,307,215,45,238,69,558,135,314,58
ZCTA5 01082,7844,1993,1209,511,1582,530,2889,581,2164,371
ZCTA5 01083,2154,548,397,161,518,94,853,216,386,77
ZCTA5 01084,126,75,15,15,8,2,49,34,54,24
ZCTA5 01085,27917,9006,4653,1760,4708,1603,11263,3713,7293,1930
ZCTA5 01086,0,0,0,0,0,0,0,0,0,0
ZCTA5 01088,394,135,138,40,29,23,180,65,47,7
ZCTA5 01089,20231,6818,3831,1453,3604,1434,8236,2605,4560,1326
ZCTA5 01092,847,405,233,125,156,110,322,140,136,30
ZCTA5 01093,228,126,9,4,25,16,101,52,93,54
ZCTA5 01094,312,102,58,32,7,0,84,42,163,28
ZCTA5 01095,10687,5068,1608,929,1550,834,4376,2177,3153,1128
ZCTA5 01096,1852,746,225,79,294,133,805,306,528,228
ZCTA5 01097,23,3,3,0,6,3,11,0,3,0
ZCTA5 01098,968,348,93,27,143,43,417,141,315,137
ZCTA5 01103,1836,557,469,265,353,66,764,184,250,42
ZCTA5 01104,15173,1766,3126,304,2929,573,5728,630,3390,259
ZCTA5 01105,7428,870,2166,203,1426,103,2494,317,1342,247
ZCTA5 01106,11149,7286,1468,1006,1718,1354,4657,3037,3306,1889
ZCTA5 01107,6239,733,1885,169,1129,156,2084,280,1141,128
ZCTA5 01108,16811,3343,4055,759,3850,604,6098,1376,2808,604
ZCTA5 01109,16601,2764,3587,654,3443,503,6437,955,3134,652
ZCTA5 01118,10121,3245,2150,800,1573,690,4068,1085,2330,670
ZCTA5 01119,8692,1667,1732,318,1295,409,3598,588,2067,352
ZCTA5 01128,2074,472,323,52,347,148,768,156,636,116
ZCTA5 01129,4957,1356,964,305,965,264,1777,450,1251,337
ZCTA5 01151,5780,862,1468,273,1277,181,2014,294,1021,114
ZCTA5 01199,0,0,0,0,0,0,0,0,0,0
ZCTA5 01201,32795,9536,5676,1619,5088,1584,12948,3585,9083,2748
ZCTA5 01220,6256,1549,1172,315,1035,356,2457,492,1592,386
ZCTA5 01222,590,93,64,23,132,14,218,25,176,31
ZCTA5 01223,1963,626,263,76,234,60,886,240,580,250
ZCTA5 01224,114,35,11,11,40,11,63,13,0,0
ZCTA5 01225,2514,682,343,198,306,38,1175,338,690,108
ZCTA5 01226,5296,1860,774,316,657,265,2399,880,1466,399
ZCTA5 01229,91,8,0,0,0,0,52,0,39,8
ZCTA5 01230,6053,2496,648,182,642,297,2626,1038,2137,979
ZCTA5 01235,1983,603,336,126,176,62,947,283,524,132
ZCTA5 01236,882,492,60,10,206,166,336,126,280,190
ZCTA5 01237,1834,731,140,84,261,101,800,277,633,269
ZCTA5 01238,4418,1519,683,302,751,325,1477,453,1507,439
ZCTA5 01240,3499,1883,245,44,322,161,1072,513,1860,1165
ZCTA5 01242,316,136,83,0,79,79,89,38,65,19
ZCTA5 01243,253,61,10,4,7,4,169,39,67,14
ZCTA5 01244,123,13,0,0,34,3,32,0,57,10
ZCTA5 01245,675,372,44,13,87,50,267,133,277,176
ZCTA5 01247,10556,2475,1451,534,1610,705,4485,795,3010,441
ZCTA5 01253,689,261,36,8,74,26,298,65,281,162
ZCTA5 01254,786,390,85,50,81,26,289,159,331,155
ZCTA5 01255,661,217,53,3,115,43,262,93,231,78
ZCTA5 01256,532,104,53,17,70,17,268,35,141,35
ZCTA5 01257,1596,541,156,40,190,105,629,125,621,271
ZCTA5 01258,382,224,61,34,31,17,182,101,108,72
ZCTA5 01259,484,253,32,6,24,0,244,125,184,122
ZCTA5 01260,248,104,0,0,52,0,127,56,69,48
ZCTA5 01262,876,388,65,30,102,25,311,140,398,193
ZCTA5 01264,159,68,18,5,22,4,54,26,65,33
ZCTA5 01266,1054,581,79,17,69,45,520,303,386,216
ZCTA5 01267,4075,2505,426,271,548,360,1558,1031,1543,843
ZCTA5 01270,615,251,60,18,70,32,315,133,170,68
ZCTA5 01301,13367,4641,2473,1084,2389,951,4765,1434,3740,1172
ZCTA5 01330,1031,486,110,39,81,36,524,233,316,178
ZCTA5 01331,9689,1926,1492,308,1781,503,4167,745,2249,370
ZCTA5 01337,1924,546,273,56,224,81,877,244,550,165
ZCTA5 01338,108,39,0,0,0,0,74,17,34,22
ZCTA5 01339,1053,382,87,39,136,24,440,154,390,165
ZCTA5 01340,1328,442,147,30,168,56,563,169,450,187
ZCTA5 01341,1442,898,102,64,241,116,640,406,459,312
ZCTA5 01342,762,364,89,46,48,48,387,213,238,57
ZCTA5 01343,52,4,2,0,11,0,27,2,12,2
ZCTA5 01344,1014,179,105,15,205,54,437,83,267,27
ZCTA5 01346,342,102,38,8,26,0,127,34,151,60
ZCTA5 01347,102,25,47,25,7,0,20,0,28,0
ZCTA5 01349,930,201,220,22,248,64,254,77,208,38
ZCTA5 01350,67,7,10,1,9,2,30,2,18,2
ZCTA5 01351,1721,603,217,50,332,103,747,301,425,149
ZCTA5 01354,1276,631,196,116,222,139,546,240,312,136
ZCTA5 01355,712,316,43,17,81,51,369,147,219,101
ZCTA5 01360,2211,846,306,136,347,113,967,396,591,201
ZCTA5 01364,5618,1078,840,130,845,281,2516,429,1417,238
ZCTA5 01366,899,327,61,19,118,38,418,135,302,135
ZCTA5 01367,413,137,59,30,76,12,141,56,137,39
ZCTA5 01368,1100,217,132,29,123,30,534,94,311,64
ZCTA5 01370,3025,1346,343,121,422,215,1297,510,963,500
ZCTA5 01373,3699,1748,357,225,679,385,1642,651,1021,487
ZCTA5 01375,2664,1280,863,503,361,236,868,283,572,258
ZCTA5 01376,3905,944,785,207,560,186,1449,320,1111,231
ZCTA5 01378,616,198,67,21,49,24,344,88,156,65
ZCTA5 01379,665,313,72,31,102,46,307,123,184,113
ZCTA5 01420,26208,5492,5528,1402,5005,907,10188,2134,5487,1049
ZCTA5 01430,4255,1688,735,408,828,377,1863,635,829,268
ZCTA5 01431,2380,791,341,131,373,155,1162,336,504,169
ZCTA5 01432,5724,2832,1168,641,1043,637,2367,1109,1146,445
ZCTA5 01434,1624,502,313,58,374,82,681,240,256,122
ZCTA5 01436,2365,473,405,76,338,85,1007,170,615,142
ZCTA5 01438,413,28,77,0,123,1,213,27,0,0
ZCTA5 01440,15014,2753,3121,583,2438,503,6274,1031,3181,636
ZCTA5 01450,7842,5035,836,514,1238,758,4084,2893,1684,870
ZCTA5 01451,3318,2576,395,289,437,399,1662,1335,824,553
ZCTA5 01452,3335,1054,523,237,427,134,1507,470,878,213
ZCTA5 01453,29460,8616,5722,2291,5361,1508,11743,3369,6634,1448
ZCTA5 01460,7140,3996,787,495,1367,1019,3433,1963,1553,519
ZCTA5 01462,8089,3000,1250,570,1222,727,3694,1212,1923,491
ZCTA5 01463,8518,3505,1412,607,1218,586,4017,1687,1871,625
ZCTA5 01464,6028,1471,990,167,945,162,3032,954,1061,188
ZCTA5 01467,233,119,56,26,0,0,73,27,104,66
ZCTA5 01468,3182,807,621,232,421,218,1344,269,796,88
ZCTA5 01469,5332,1811,854,281,936,309,2458,890,1084,331
ZCTA5 01473,5620,2270,963,445,832,309,2463,924,1362,592
ZCTA5 01474,1362,487,170,42,149,79,726,293,317,73
ZCTA5 01475,7404,1682,1619,422,1187,176,3066,715,1532,369
ZCTA5 01501,12084,4895,1721,954,2046,1192,5172,2014,3145,735
ZCTA5 01503,2392,1209,299,172,346,159,936,535,811,343
ZCTA5 01504,6511,2305,1038,509,1241,590,2886,941,1346,265
ZCTA5 01505,3227,1854,290,162,610,448,1528,962,799,282
ZCTA5 01506,2490,715,438,164,407,194,980,227,665,130
ZCTA5 01507,9287,3451,1291,478,1550,762,4441,1665,2005,546
ZCTA5 01510,9858,2903,2560,794,1811,591,3674,1177,1813,341
ZCTA5 01515,1430,523,324,109,218,114,568,194,320,106
ZCTA5 01516,6013,2376,672,335,1111,568,3161,1239,1069,234
ZCTA5 01518,2651,1157,598,368,637,280,810,282,606,227
ZCTA5 01519,4940,2596,946,510,747,367,2295,1250,952,469
ZCTA5 01520,11042,6495,1718,977,1812,1354,4910,2974,2602,1190
ZCTA5 01521,1836,512,264,78,241,52,867,273,464,109
ZCTA5 01522,2255,1172,263,145,389,262,890,530,713,235
ZCTA5 01523,5622,2166,1229,370,963,428,2195,949,1235,419
ZCTA5 01524,4519,1327,769,186,658,306,2174,641,918,194
ZCTA5 01525,358,85,204,36,24,0,88,40,42,9
ZCTA5 01527,9902,3215,1396,642,1660,727,4411,1332,2435,514
ZCTA5 01529,2255,629,431,145,388,149,1040,272,396,63
ZCTA5 01531,895,266,77,31,125,23,519,156,174,56
ZCTA5 01532,10424,6678,1326,809,1987,1557,4736,3292,2375,1020
ZCTA5 01534,4582,1950,654,435,771,461,2041,821,1116,233
ZCTA5 01535,3434,981,631,157,472,252,1564,363,767,209
ZCTA5 01536,5097,2408,808,420,1059,658,2273,1076,957,254
ZCTA5 01537,1473,554,244,103,438,240,453,156,338,55
ZCTA5 01540,7905,2211,1392,498,1283,458,3682,1021,1548,234
ZCTA5 01541,2600,1600,240,125,339,233,1246,858,775,384
ZCTA5 01542,1878,495,355,59,350,185,755,187,418,64
ZCTA5 01543,5606,2597,749,451,1251,670,2614,1172,992,304
ZCTA5 01545,25669,15031,4012,2833,4790,3672,10635,6035,6232,2491
ZCTA5 01550,11439,1971,2184,282,2024,347,4701,909,2530,433
ZCTA5 01560,3093,1616,627,463,644,453,1269,576,553,124
ZCTA5 01561,209,133,0,0,0,0,88,88,121,45
ZCTA5 01562,9036,1752,1323,354,1640,482,3897,555,2176,361
ZCTA5 01564,5769,3047,573,235,995,664,2674,1468,1527,680
ZCTA5 01566,3910,1801,388,184,603,366,1825,759,1094,492
ZCTA5 01568,5579,3355,775,480,1189,952,2489,1612,1126,311
ZCTA5 01569,9816,3417,1687,832,1580,614,4555,1530,1994,441
ZCTA5 01570,12166,3042,1847,605,2241,555,5030,1296,3048,586
ZCTA5 01571,7317,2343,1122,417,1225,488,3280,1066,1690,372
ZCTA5 01581,13316,8881,2832,1942,2513,2081,5372,3509,2599,1349
ZCTA5 01583,6036,2028,1295,310,1131,311,2195,949,1415,458
ZCTA5 01585,3420,987,581,155,474,215,1360,398,1005,219
ZCTA5 01588,6619,2148,1269,476,1211,579,2459,722,1680,371
ZCTA5 01590,6641,2729,946,398,1062,470,3192,1427,1441,434
ZCTA5 01602,16125,7154,2916,1226,2549,1235,6601,2808,4059,1885
ZCTA5 01603,13325,2807,3177,901,2424,382,5045,1022,2679,502
ZCTA5 01604,26223,7847,7330,3189,4991,1477,9360,2340,4542,841
ZCTA5 01605,18286,4436,5117,1727,3349,581,5957,1280,3863,848
ZCTA5 01606,14174,5279,2907,1439,2513,1034,5617,1980,3137,826
ZCTA5 01607,5880,1341,1424,394,1024,393,2368,378,1064,176
ZCTA5 01608,2639,673,918,277,635,178,729,149,357,69
ZCTA5 01609,13116,5336,2697,1290,2097,820,4649,1872,3673,1354
ZCTA5 01610,12093,1952,3419,708,2211,445,4520,569,1943,230
ZCTA5 01611,1635,449,238,84,295,40,807,280,295,45
ZCTA5 01612,3139,1766,491,309,510,360,1339,691,799,406
ZCTA5 01701,24564,14576,3891,2737,3946,2817,10192,5815,6535,3207
ZCTA5 01702,27193,10045,7388,3549,6095,1736,8911,2883,4799,1877
ZCTA5 01718,488,390,18,18,296,236,136,98,38,38
ZCTA5 01719,3876,2565,539,259,729,467,1956,1566,652,273
ZCTA5 01720,15787,11787,1797,1079,2923,2581,7476,5944,3591,2183
ZCTA5 01721,12586,7369,1878,1089,2735,2183,5146,2715,2827,1382
ZCTA5 01730,9613,6898,1273,902,1865,1593,4033,3024,2442,1379
ZCTA5 01731,1012,572,419,216,418,258,165,94,10,4
ZCTA5 01740,3506,2415,278,181,708,617,1831,1270,689,347
ZCTA5 01741,3699,3041,265,185,554,509,1866,1660,1014,687
ZCTA5 01742,13592,10088,1470,682,2410,1695,5781,4660,3931,3051
ZCTA5 01745,362,223,52,41,139,72,132,95,39,15
ZCTA5 01746,10045,6652,1262,924,1928,1335,4739,3382,2116,1011
ZCTA5 01747,4239,1835,541,320,727,435,1953,844,1018,236
ZCTA5 01748,12151,8734,1672,1372,2931,2391,5062,3624,2486,1347
ZCTA5 01749,14562,6459,2290,1247,2725,1392,6000,2485,3547,1335
ZCTA5 01752,28395,11085,6045,2547,5562,2403,11133,4501,5655,1634
ZCTA5 01754,7815,3996,1512,967,1279,761,3394,1694,1630,574
ZCTA5 01756,4241,1960,517,256,713,414,2025,842,986,448
ZCTA5 01757,20124,7302,4069,1698,3971,1745,7693,2572,4391,1287
ZCTA5 01760,25398,17442,4552,3444,4835,3844,10461,7415,5550,2739
ZCTA5 01770,2979,2490,229,149,493,466,1532,1276,725,599
ZCTA5 01772,6396,4274,714,381,1009,752,3220,2347,1453,794
ZCTA5 01773,3690,2959,197,68,439,352,1669,1490,1385,1049
ZCTA5 01775,4750,3497,499,282,947,859,2139,1590,1165,766
ZCTA5 01776,12565,10112,869,710,2462,2232,6220,5119,3014,2051
ZCTA5 01778,9497,7680,1001,755,1699,1572,4262,3518,2535,1835
ZCTA5 01801,29289,13292,6347,4096,5094,3024,11261,4419,6587,1753
ZCTA5 01803,19843,11282,3592,2758,3652,2592,7281,3691,5318,2241
ZCTA5 01810,24143,17986,2609,1923,4773,4037,11471,8925,5290,3101
ZCTA5 01821,23370,8705,4436,2339,4017,1993,10023,3367,4894,1006
ZCTA5 01824,18611,11071,2744,1944,3087,2311,8080,4666,4700,2150
ZCTA5 01826,21816,6782,3911,1482,4041,1675,9056,2757,4808,868
ZCTA5 01827,2297,1259,210,102,393,245,1195,672,499,240
ZCTA5 01830,18494,4902,4049,1045,3700,1020,6894,2073,3851,764
ZCTA5 01832,15626,4728,3518,1171,2907,841,6463,1884,2738,832
ZCTA5 01833,6192,3308,1028,541,990,675,2800,1548,1374,544
